-3763.135520, -2815.441254, 6119.351857, 6.274202, -1.291055, 3.263870
-3700.231141, -2828.229464, 6151.724584, 6.306583, -1.266569, 3.210629
-3637.005682, -2840.772260, 6183.563508, 6.338417, -1.241973, 3.157110
-3573.464629, -2853.068555, 6214.865866, 6.369701, -1.217269, 3.103317
-3509.613497, -2865.117280, 6245.628942, 6.400433, -1.192459, 3.049254
-3445.457824, -2876.917389, 6275.850064, 6.430609, -1.167546, 2.994927
-3381.003177, -2888.467860, 6305.526612, 6.460227, -1.142531, 2.940340
-3316.255150, -2899.767688, 6334.656008, 6.489285, -1.117418, 2.885497
-3251.219361, -2910.815894, 6363.235724, 6.517779, -1.092207, 2.830405
-3185.901452, -2921.611519, 6391.263282, 6.545708, -1.066902, 2.775066
-3120.307091, -2932.153625, 6418.736247, 6.573069, -1.041504, 2.719487
-3054.441971, -2942.441299, 6445.652237, 6.599860, -1.016016, 2.663672
-2988.311806, -2952.473646, 6472.008915, 6.626078, -0.990439, 2.607626
-2921.922336, -2962.249798, 6497.803994, 6.651721, -0.964777, 2.551353
-2855.279319, -2971.768904, 6523.035237, 6.676786, -0.939031, 2.494859
-2788.388541, -2981.030140, 6547.700453, 6.701273, -0.913203, 2.438149
-2721.255804, -2990.032702, 6571.797503, 6.725178, -0.887296, 2.381227
-2653.886935, -2998.775808, 6595.324296, 6.748499, -0.861312, 2.324098
-2586.287779, -3007.258701, 6618.278790, 6.771235, -0.835254, 2.266768
-2518.464203, -3015.480644, 6640.658995, 6.793383, -0.809123, 2.209241
-2450.422091, -3023.440924, 6662.462969, 6.814941, -0.782922, 2.151522
-2382.167349, -3031.138851, 6683.688821, 6.835908, -0.756653, 2.093617
-2313.705899, -3038.573757, 6704.334708, 6.856283, -0.730318, 2.035530
-2245.043682, -3045.744997, 6724.398841, 6.876062, -0.703920, 1.977267
-2176.186656, -3052.651950, 6743.879480, 6.895244, -0.677461, 1.918832
-2107.140797, -3059.294015, 6762.774934, 6.913828, -0.650943, 1.860231
-2037.912096, -3065.670619, 6781.083565, 6.931812, -0.624369, 1.801469
-1968.506560, -3071.781206, 6798.803785, 6.949195, -0.597740, 1.742550
-1898.930213, -3077.625248, 6815.934059, 6.965974, -0.571060, 1.683480
