-90,-180,329740.0
-90,-170,329740.0
-90,-160,329740.0
-90,-150,329740.0
-90,-140,329740.0
-90,-130,329740.0
-90,-120,329740.0
-90,-110,329740.0
-90,-100,329740.0
-90,-90,329740.0
-90,-80,329740.0
-90,-70,329740.0
-90,-60,329740.0
-90,-50,329740.0
-90,-40,329740.0
-90,-30,329740.0
-90,-20,329740.0
-90,-10,329740.0
-90,0,329740.0
-90,10,329740.0
-90,20,329740.0
-90,30,329740.0
-90,40,329740.0
-90,50,329740.0
-90,60,329740.0
-90,70,329740.0
-90,80,329740.0
-90,90,329740.0
-90,100,329740.0
-90,110,329740.0
-90,120,329740.0
-90,130,329740.0
-90,140,329740.0
-90,150,329740.0
-90,160,329740.0
-90,170,329740.0
-90,180,329740.0
-80,-180,308250.0
-80,-170,308510.0
-80,-160,308820.0
-80,-150,309130.0
-80,-140,309420.0
-80,-130,309690.0
-80,-120,309990.0
-80,-110,329420.0
-80,-100,329160.0
-80,-90,328860.0
-80,-80,328560.0
-80,-70,328230.0
-80,-60,327940.0
-80,-50,327650.0
-80,-40,327430.0
-80,-30,327140.0
-80,-20,327160.0
-80,-10,327120.0
-80,0,327110.0
-80,10,327130.0
-80,20,327130.0
-80,30,327100.0
-80,40,327160.0
-80,50,327130.0
-80,60,327140.0
-80,70,327330.0
-80,80,327630.0
-80,90,327900.0
-80,100,328190.0
-80,110,328520.0
-80,120,328840.0
-80,130,329120.0
-80,140,329380.0
-80,150,307590.0
-80,160,307770.0
-80,170,308000.0
-80,180,308250.0
-70,-180,303120.0
-70,-170,303720.0
-70,-160,304290.0
-70,-150,304970.0
-70,-140,305590.0
-70,-130,306130.0
-70,-120,306710.0
-70,-110,307200.0
-70,-100,307610.0
-70,-90,324960.0
-70,-80,324360.0
-70,-70,323700.0
-70,-60,323050.0
-70,-50,322860.0
-70,-40,322880.0
-70,-30,322870.0
-70,-20,322870.0
-70,-10,322830.0
-70,0,322860.0
-70,10,322850.0
-70,20,322860.0
-70,30,322880.0
-70,40,322860.0
-70,50,322900.0
-70,60,322870.0
-70,70,322870.0
-70,80,322860.0
-70,90,323040.0
-70,100,323640.0
-70,110,324250.0
-70,120,324890.0
-70,130,301440.0
-70,140,301570.0
-70,150,301810.0
-70,160,302170.0
-70,170,302640.0
-70,180,303120.0
-60,-180,293350.0
-60,-170,294290.0
-60,-160,295290.0
-60,-150,296280.0
-60,-140,297240.0
-60,-130,298130.0
-60,-120,298900.0
-60,-110,299620.0
-60,-100,300240.0
-60,-90,300750.0
-60,-80,315390.0
-60,-70,314300.0
-60,-60,313950.0
-60,-50,313970.0
-60,-40,313960.0
-60,-30,313970.0
-60,-20,313990.0
-60,-10,313970.0
-60,0,313970.0
-60,10,313990.0
-60,20,313930.0
-60,30,313950.0
-60,40,313980.0
-60,50,313980.0
-60,60,313980.0
-60,70,313980.0
-60,80,313970.0
-60,90,313980.0
-60,100,314260.0
-60,110,315240.0
-60,120,316210.0
-60,130,290820.0
-60,140,291020.0
-60,150,291390.0
-60,160,291900.0
-60,170,292550.0
-60,180,293350.0
-50,-180,269220.0
-50,-170,267840.0
-50,-160,271960.0
-50,-150,271580.0
