-1.02112,20.0647,1396455071.184,1396502551.184,47480.0,5.016999611775503,212.9388672105357
-1.02112,20.0647,1396580951.184,1396627571.184,46620.0,5.044950014574813,329.55900481780805
-1.02112,20.0647,1396705891.184,1396752961.184,47070.0,5.014289817053241,212.2302440255655
-1.02112,20.0647,1396831221.184,1396875861.184,44640.0,5.022272600663511,325.6196951618515
-1.02112,20.0647,1396942551.184,1396987751.184,45200.0,5.020147370073036,301.29895539016843
-1.02112,20.0647,1397066091.184,1397113251.184,47160.0,5.01100015948198,222.9059342716958
-1.02112,20.0647,1397191571.184,1397238241.184,46670.0,5.022272007946769,323.2843710366082
-1.229,-52.1,1396430341.184,1396477031.184,46690.0,5.01329623992378,326.8347133753509
-1.229,-52.1,1396555411.184,1396602901.184,47490.0,5.024009089725617,211.63818858212272
-1.229,-52.1,1396681321.184,1396727541.184,46220.0,5.02012675961936,329.9435895118195
-1.229,-52.1,1396805611.184,1396852091.184,46480.0,5.024362793763275,216.51519347134544
-1.229,-52.1,1396917501.184,1396963641.184,46140.0,5.00771499494265,241.1996942068461
-1.229,-52.1,1397041551.184,1397087661.184,46110.0,5.008786767259703,314.22769220129095
-1.229,-52.1,1397166101.184,1397213561.184,47460.0,5.028352173878908,217.38120848533956
-1.85299,113.442,1396483461.184,1396529541.184,46080.0,5.000350143504431,317.4830649921773
-1.85299,113.442,1396608001.184,1396655741.184,47740.0,5.034717723906191,215.64605683899435
-1.85299,113.442,1396734101.184,1396780561.184,46460.0,5.00902948038791,328.1042572169249
-1.85299,113.442,1396858911.184,1396906581.184,47670.0,5.005140093289101,211.84460743148887
-1.85299,113.442,1396985031.184,1397030711.184,45680.0,5.004538064421106,330.06547629270074
-1.85299,113.442,1397108261.184,1397142321.184,34060.0,5.008042341902874,222.53377281443503
-1.85299,113.442,1397148481.184,1397154151.184,5670.0,5.004245826656359,77.43105334446336
-1.85299,113.442,1397219911.184,1397266971.184,47060.0,5.000256498246843,232.12193567389028
19.592,-155.388,1396411251.184,1396443421.184,32170.0,34.52781066394544,192.2053666783739
19.592,-155.388,1396517331.184,1396552341.184,35010.0,5.012051512779051,266.23521000362695
19.592,-155.388,1396569781.184,1396575851.184,6070.0,5.000763165549968,82.44135433335597
19.592,-155.388,1396632431.184,1396647321.184,14890.0,5.002350437126786,321.7716648498994
19.592,-155.388,1396658331.184,1396687701.184,29370.0,5.016002474316555,185.7344881149146
19.592,-155.388,1396764661.184,1396804411.184,39750.0,5.013999853805749,225.4598501238377
19.592,-155.388,1396883181.184,1396906511.184,23330.0,5.04655843940518,322.2583800697905
19.592,-155.388,1396911951.184,1396937141.184,25190.0,5.001162082058569,171.29278450397786
19.592,-155.388,1397015591.184,1397055771.184,40180.0,5.012850921957044,207.8620961526494
19.592,-155.388,1397133411.184,1397161271.184,27860.0,5.033535781336899,312.1220391352072
19.592,-155.388,1397169861.184,1397187931.184,18070.0,5.013629721750911,136.2658728276127
